CONVICTED_OF
Arrested for:Criminal trespass
Driving while intoxicated
Driving without a license
Felony sexual battery of minor
Using threatening language over the phone
Cocaine - Smuggle
Heroin
Larceny after breaking and entering
Manufacture/delivery of a controlled substance
Smuggling of persons
Corruption of minors
Retail theft
Possession with intent crystal meth
Second degree illegal entry-dwelling
Aggravated assault
Arranging to meet a minor
Possession of a firearm by a prohibited person
Assault on a family/house member impeding breath/circulation
Assault with a deadly weapon with great bodily injury
Cruelty toward a child
Hit-and-run
Criminal threats
Dissuading or intimidating a witness or victim
Conspiracy to transport an illegal alie
Arrested for:Domestic Violence
Distribution of heroin and cocaine
Possessing unlawful paraphernalia
Possessing controlled substances
Assault with a deadly weapon: not firearm
Obstructing a public officer
Conspiracy to possess with intent to distribute five kilograms or more cocaine while on board a vessel
Arrested for:Grand theft larceny
Possession of a prohibited weapon
Petty theft
Sexual battery
Arrested for:Aggravated Assault - Weapon
Felony smuggling aliens
Damaging property
Violating probation
Aggravated assault causing significant bodily injury
Assault peace officer/judge
Manslaughter
Driving Under Influence Liquor
Murder
Child solicitation by electronic communication device and meets with a child
Attempt to commit a felony: sexual exploitation of children by prostitution (hires)
Dentistry act violation
Indecent assault
Voluntary manslaughter
Arson
Conspiracy to possess with intent to distribute methamphetamine
Sexual assault of a child
Domestic assault
Conspiracy to import at least 50kg of cocaine
Child abduction
Arrested for:Domestic battery
Violation of a protection order
Sexual assault of a victim less than 13 years of age
Aggravated criminal sexual abuse of a child
Domestic battery
Criminal sexual assault
Aggravated kidnapping/ransom
Arrested for:Domestic abuse-battery
Trespassing
Aggravated flight from officer
Child passenger restraint system violation
Arrested for:Resisting arrest
Domestic abuse-battery
Domestic abuse-child endangerment
Arrested for:Contributing to Delinquency of Minor
Strangulation
Domestic abuse of a child
Arrested for:Human smuggling
Aggravated battery
Forcible rape
Driving while ability impaired
Voyeurism
Sex conduct third degree force or coercion
Smuggling cocaine
Escape of a prisoner
Aid and abet second degree unintentional murder
Abandoning or endangering a child (intentionally knowingly recklessly or with criminal negligence)
Endangering the welfare of a child through sexual contact
Sexual assault - victim less than 13
Sexual abuse
Third-degree sex offense
Indecent liberties with a child
Sale of cocaine
Assault with a firearm on person
Assault with a deadly weapon other than a firearm
Carrying a concealed weapon on person
Indecent assault and battery on a child under 14
Indecency with a child by exposure
Procure for Prostitute Who Is a Minor
Enticement of Minor for Prostitution
Obscene Material - Possession
Failure To Register As A Sex Offender
Homicide-Negligent Manslaughter-Weapon
Resisting Officer
Synthetic Narcotic - Sell
Marijuana
Contempt Of Court
Weapon Trafficking
Second-degree murder
Third-degree felony assault
Arrested for:Cruelty toward a child
Indecent Exposure
Arrested for:Stalking
Rape of a minor
Theft And Use Vehicle Other Crime
Synthetic Narcotic - Possession
Aggravated Assault - Family-Strongarm
Aggravated Assault - Public Officer-Strongarm
Smuggling
Crimes Against Person
Compounding Crime
Mail Fraud
Conspiracy
Robbery - Business-Gun
Smuggle Contraband Into Prison
Cruelty Toward Wife
Racketeer Influenced and Corrupt Organizations Act (RICO)
Traffic Offense
Hit and Run
Statutory Rape - No Force
Kidnap Minor
Possession Tools For Forgery/Counterfeiting
Aggravated Assault - Non-family-Strongarm
Extortion - Threat of Informing of Violence
Kidnap Minor To Sexually Assault
Identity Theft (70AA)
Sale Of Stolen Property
Fraud - Illegal Use Credit Cards
Burglary - Forced Entry-Non-Residence
Enticement of Minor for Indecent Purposes - via Telecommunications
Homicide-Willful Kill-Weapon
Aggravated Assault - Non-family-Gun
Enticement of Minor for Indecent Purposes
Evidence - Destroying
Sexual Exploitation of Minor - Material - Photograph
Sexual Exploitation of Minor - Via Telecommunications
Indecent Liberties
Obstruct Criminal Invest
Parole Violation
Sexual Exploitation of Minor - Prostitution
Fraud By Wire
Abduct-No Ransom or Assault
Sex Assault - Carnal Abuse
Burglary - No Forced Entry-Non-Residence
Selling Weapon
Opium Or Derivatives - Smuggle
Synthetic Narcotic - Smuggle
Indecent Exposure to Minor
Explosives - Transporting
Burglary - Banking-Type Institution
Synthetic Narcotic
Property Crimes
Disorderly Conduct
Robbery - Street-Weapon
Amphetamine
Obscene Material - Distribution
Robbery - Residence-Strongarm
Smuggle To Avoid Paying Duty
Sexual Exploitation of Minor - Material - Film
Carjacking-Armed
Aircraft Theft
Transport Tools For Forgery/Counterfeiting
Identity Theft
Robbery - Business Weapon
Sex Assault - Sodomy-Boy-Strongarm
Extortion - Threat Injure Person
Tax Revenue
Homicide-Willful Kill-Gun
Altering Identification On Weapon
Robbery - Street-Strongarm
Making False Report
Sexual Assault - Drug-Induced
Aggravated Assault - Police Officer-Weapon
Indecent Exposure to Adult
Conceal Stolen Property
Contributing to Delinquency of Minor
Exploitation of a Minor
Larceny - Parts from Vehicle
Rape - Drug-Induced
Shoplifting
Sex Assault - Sodomy-Woman-Strongarm
Refusing To Aid Officer
Opium Or Derivatives - Sell
Escape From Custody
Narcotic Equip - Possession
Gang Activity
Sexual Exploitation of Minor - Material - Transport
Obscene Materia l - Mailing
Obscene Communication
Sexual Exploitation of Minor - Exhibition of Minor
Bail - Secured Bond
Damage Property - Private
Receiving Stolen Vehicle
Rape - Gun
Liquor - Sell
Smuggle Contraband
Robbery - Banking-Type Institution
Embezzle - Banking-Type Institution
Bail - Personal Recognizance
Sexual Exploitation of Minor - Sex Performance
Larceny - From Building
Invade Privacy
Robbery - Residence-Gun
Family Offense
Flight - Escape
Incendiary Device - Possession
Voluntary - Manslaughter
Cruelty Toward Elderly
Extortion
Aggravated Assault - Police Officer-Gun
Incest With Adult
Gambling
Damage Property - Business
Burglary - No Forced Entry-Residence
Heroin - Smuggle
Immigration (Possess of Fraud. Immigration Docs)
Arson - Business-Defraud Insurer
Larceny - From Interstate Shipment
Conditional Release Violation
Aggravated Assault - Public Officer-Gun
Driving Under Influence Drugs
Conservation - Animals
Aggravated Assault - Public Officer-Weapon
Drugs - Health or Safety
Kidnap Adult
Obscene
Sex Assault - Sodomy-Woman-Weapon
Homicide-Negligent Manslaughter-Vehicle
Fraud - Confidence Game
Conservation - Environment
False Imprisonment-Minor-Parental
Opium Or Derivatives - Possession
Kidnap Adult For Ransom
Prostitution
Neglect Elderly
Obscene Material
Homicide-Willful Kill-Non-family-Gun
Morals - Decency Crimes
Peeping Tom
Larceny - From Auto
Failure Report Crime
Abscond While On Probation
Sabotage
Hallucinogen - Distribution
Incendiary Device - Using
Rape - Elderly
Larceny On US Government Reserves
Commercial Sex
Explosives - Possession
Incest With Minor
Witness - Dissuading
Public Peace
Obstructing Court Order
Arson - Residence-Endangered Life
Homicide-Willful Kill-Family-Weapon
Licensing - Registration Weapon
Damage Property - Public
Embezzle
Establish Gambling Place
False Citizenship
Sex Assault - Sodomy-Boy-Weapon
Larceny - From Banking-Type Institution
Sex Assault - Sodomy-Girl-Gun
Transport Interstate Stolen Property
Harboring Escapee/Fugitive
Immigration (Trafficking of Fraud. Immigration Documents)
Sex offenses
Kickback
Bestiality
Computer Crimes
Kickback - Offering
Eavesdropping
Pocketpicking
Homicide-Willful Kill-Family-Gun
Assembly - Unlawful
Interstate Transportation of Stolen Vehicle
Embezzle - Interstate Shipment
Health - Safety
Obscene Material - Manufacturing
Kickback - Giving
Riot - Inciting
Sexual Assault
Neglect Family
Sex Assault - Elderly
Sex Assault - Sodomy-Girl-Weapon
Hallucinogen
Hallucinogen - Manufacturing
Extortion - Threat Damage Property
Mandatory Release Violation
Embezzle - Business Property
Barbiturate - Sell
Transport Interstate for Sexual Activity
Anarchism
Licensing Violation
Theft Of US Government Property
Sex Assault - Sodomy-Woman-Gun
Kidnap Hostage For Escape
Embezzle - Public Property (U.S.
state
city property)
Liquor - Possession
Theft And Strip Vehicle
Income Tax
Bribe
Sex Assault - Disabled
Cruelty Toward Disabled
Robbery - Business-Strongarm
Fraud and Abuse - Computer
Arson - Residence
Kidnap Minor-Parental
Theft Vehicle By Bailee
Operating a motor vehicle while intoxicated
Sex Assault - Sodomy-Man-Strongarm
Transporting Dangerous Material
Non-support of Parent
Carrying a concealed weapon
Bribery
Hallucinogen - Sell
False Imprisonment-Minor-Nonparental
Obscene Material - Transport
Threat To Bomb
Extortion - Threat Accuse Person Of Crime
Strip Stolen Vehicle
Terrorism
Liquor - Transport
Kidnap Minor For Ransom
Theft And Sale Vehicle
Perjury
Transport Interstate for Commercialized Sex
Abscond While On Parole
Hallucinogen - Possession
""
Arson - Business-Endangered Life
Espionage
Money Laundering-Remarks
Larceny - From Mails
Liquor
Arson - Public Building-Endangered Life
Food - Adulterated
Keeping House Ill Fame
Gambling Device - Possession
Riot - Interfere Officer
Damage Property - Public-With Explosive
Deceptive Business Practices (to include False Advertising)
Procure for Prostitute Who is an Adult
Forcible Purse Snatching
Drugs - Misbranded
Sex Assault - Sodomy-Boy-Gun
Arson - Business
Threat To Burn
Arson - Public-Building
Obstruct (specify Judiciary
Congress
Legislature
Commission in comments)
Treason
Witness - Deceiving
Sex Offense - Elderly
Kidnap-Hijack Aircraft
Larceny - From Shipment
Riot
